,best
agreement_determiner_noun-across_1_adjective,0.544
agreement_determiner_noun-between_neighbors,0.549
agreement_subject_verb-across_prepositional_phrase,0.526
agreement_subject_verb-across_relative_clause,0.507
agreement_subject_verb-in_question_with_aux,0.498
agreement_subject_verb-in_simple_question,0.497
anaphor_agreement-pronoun_gender,0.5275
argument_structure-dropped_argument,0.848
argument_structure-swapped_arguments,0.959
argument_structure-transitive,0.702
binding-principle_a,0.386
case-subjective_pronoun,0.999
ellipsis-n_bar,0.3435
filler-gap-wh_question_object,0.8115
filler-gap-wh_question_subject,0.9995
irregular-verb,0.6325
island-effects-adjunct_island,0.5685
island-effects-coordinate_structure_constraint,0.3405
local_attractor-in_question_with_aux,0.753
npi_licensing-matrix_question,0.5945
npi_licensing-only_npi_licensor,0.2005
quantifiers-existential_there,0.7005
quantifiers-superlative,0.4915
