,best
agreement_determiner_noun-across_1_adjective,0.508
agreement_determiner_noun-between_neighbors,0.502
agreement_subject_verb-across_prepositional_phrase,0.5
agreement_subject_verb-across_relative_clause,0.505
agreement_subject_verb-in_question_with_aux,0.5075
agreement_subject_verb-in_simple_question,0.5025
anaphor_agreement-pronoun_gender,0.524
argument_structure-dropped_argument,0.7725
argument_structure-swapped_arguments,0.9975
argument_structure-transitive,0.542
binding-principle_a,0.4535
case-subjective_pronoun,0.996
ellipsis-n_bar,0.5115
filler-gap-wh_question_object,0.5185
filler-gap-wh_question_subject,1.0
irregular-verb,0.496
island-effects-adjunct_island,0.6395
island-effects-coordinate_structure_constraint,0.098
local_attractor-in_question_with_aux,0.751
npi_licensing-matrix_question,0.826
npi_licensing-only_npi_licensor,0.9655
quantifiers-existential_there,0.732
quantifiers-superlative,0.509
