,best
agreement_determiner_noun-across_1_adjective,0.524
agreement_determiner_noun-between_neighbors,0.5775
agreement_subject_verb-across_prepositional_phrase,0.494
agreement_subject_verb-across_relative_clause,0.504
agreement_subject_verb-in_question_with_aux,0.501
agreement_subject_verb-in_simple_question,0.5
anaphor_agreement-pronoun_gender,0.5135
argument_structure-dropped_argument,0.8065
argument_structure-swapped_arguments,0.996
argument_structure-transitive,0.724
binding-principle_a,0.39
case-subjective_pronoun,1.0
ellipsis-n_bar,0.3665
filler-gap-wh_question_object,0.4815
filler-gap-wh_question_subject,0.9985
irregular-verb,0.6905
island-effects-adjunct_island,0.604
island-effects-coordinate_structure_constraint,0.267
local_attractor-in_question_with_aux,0.5705
npi_licensing-matrix_question,0.5795
npi_licensing-only_npi_licensor,0.515
quantifiers-existential_there,0.711
quantifiers-superlative,0.49
