,best
agreement_determiner_noun-across_1_adjective,0.522
agreement_determiner_noun-between_neighbors,0.577
agreement_subject_verb-across_prepositional_phrase,0.498
agreement_subject_verb-across_relative_clause,0.5015
agreement_subject_verb-in_question_with_aux,0.498
agreement_subject_verb-in_simple_question,0.501
anaphor_agreement-pronoun_gender,0.5105
argument_structure-dropped_argument,0.806
argument_structure-swapped_arguments,0.9975
argument_structure-transitive,0.7225
binding-principle_a,0.386
case-subjective_pronoun,1.0
ellipsis-n_bar,0.3735
filler-gap-wh_question_object,0.476
filler-gap-wh_question_subject,0.998
irregular-verb,0.693
island-effects-adjunct_island,0.585
island-effects-coordinate_structure_constraint,0.276
local_attractor-in_question_with_aux,0.5765
npi_licensing-matrix_question,0.5625
npi_licensing-only_npi_licensor,0.533
quantifiers-existential_there,0.7145
quantifiers-superlative,0.485
