,epoch_3
agreement_determiner_noun-across_1_adjective,0.5015
agreement_determiner_noun-between_neighbors,0.516
agreement_subject_verb-across_prepositional_phrase,0.508
agreement_subject_verb-across_relative_clause,0.5065
agreement_subject_verb-in_question_with_aux,0.473
agreement_subject_verb-in_simple_question,0.48
anaphor_agreement-pronoun_gender,0.5525
argument_structure-dropped_argument,0.809
argument_structure-swapped_arguments,0.9965
argument_structure-transitive,0.495
binding-principle_a,0.4605
case-subjective_pronoun,0.972
ellipsis-n_bar,0.1635
filler-gap-wh_question_object,0.131
filler-gap-wh_question_subject,1.0
irregular-verb,0.49
island-effects-adjunct_island,0.7265
island-effects-coordinate_structure_constraint,0.2365
local_attractor-in_question_with_aux,0.8225
npi_licensing-matrix_question,0.7495
npi_licensing-only_npi_licensor,0.9995
quantifiers-existential_there,0.6305
quantifiers-superlative,0.0055
