,best
agreement_determiner_noun-across_1_adjective,0.5095
agreement_determiner_noun-between_neighbors,0.55
agreement_subject_verb-across_prepositional_phrase,0.523
agreement_subject_verb-across_relative_clause,0.501
agreement_subject_verb-in_question_with_aux,0.5015
agreement_subject_verb-in_simple_question,0.497
anaphor_agreement-pronoun_gender,0.5275
argument_structure-dropped_argument,0.828
argument_structure-swapped_arguments,0.989
argument_structure-transitive,0.581
binding-principle_a,0.388
case-subjective_pronoun,1.0
ellipsis-n_bar,0.5475
filler-gap-wh_question_object,0.5125
filler-gap-wh_question_subject,0.8915
irregular-verb,0.584
island-effects-adjunct_island,0.943
island-effects-coordinate_structure_constraint,0.0555
local_attractor-in_question_with_aux,0.6385
npi_licensing-matrix_question,0.5965
npi_licensing-only_npi_licensor,0.8135
quantifiers-existential_there,0.66
quantifiers-superlative,0.472
