,best
agreement_determiner_noun-across_1_adjective,0.5185
agreement_determiner_noun-between_neighbors,0.547
agreement_subject_verb-across_prepositional_phrase,0.502
agreement_subject_verb-across_relative_clause,0.485
agreement_subject_verb-in_question_with_aux,0.497
agreement_subject_verb-in_simple_question,0.5135
anaphor_agreement-pronoun_gender,0.555
argument_structure-dropped_argument,0.77
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.5065
binding-principle_a,0.3485
case-subjective_pronoun,0.9975
ellipsis-n_bar,0.572
filler-gap-wh_question_object,0.89
filler-gap-wh_question_subject,1.0
irregular-verb,0.495
island-effects-adjunct_island,0.6835
island-effects-coordinate_structure_constraint,0.226
local_attractor-in_question_with_aux,0.744
npi_licensing-matrix_question,0.702
npi_licensing-only_npi_licensor,0.12
quantifiers-existential_there,0.746
quantifiers-superlative,0.5065
