,best
agreement_determiner_noun-across_1_adjective,0.511
agreement_determiner_noun-between_neighbors,0.547
agreement_subject_verb-across_prepositional_phrase,0.521
agreement_subject_verb-across_relative_clause,0.5025
agreement_subject_verb-in_question_with_aux,0.51
agreement_subject_verb-in_simple_question,0.4955
anaphor_agreement-pronoun_gender,0.5265
argument_structure-dropped_argument,0.831
argument_structure-swapped_arguments,0.987
argument_structure-transitive,0.5875
binding-principle_a,0.401
case-subjective_pronoun,1.0
ellipsis-n_bar,0.5495
filler-gap-wh_question_object,0.503
filler-gap-wh_question_subject,0.9035
irregular-verb,0.6
island-effects-adjunct_island,0.9435
island-effects-coordinate_structure_constraint,0.0525
local_attractor-in_question_with_aux,0.64
npi_licensing-matrix_question,0.593
npi_licensing-only_npi_licensor,0.7915
quantifiers-existential_there,0.6645
quantifiers-superlative,0.461
