,epoch_10
agreement_determiner_noun-across_1_adjective,0.503
agreement_determiner_noun-between_neighbors,0.5035
agreement_subject_verb-across_prepositional_phrase,0.4935
agreement_subject_verb-across_relative_clause,0.4835
agreement_subject_verb-in_question_with_aux,0.4915
agreement_subject_verb-in_simple_question,0.495
anaphor_agreement-pronoun_gender,0.5405
argument_structure-dropped_argument,0.8615
argument_structure-swapped_arguments,0.9985
argument_structure-transitive,0.515
binding-principle_a,0.444
case-subjective_pronoun,0.975
ellipsis-n_bar,0.17
filler-gap-wh_question_object,0.159
filler-gap-wh_question_subject,1.0
irregular-verb,0.5155
island-effects-adjunct_island,0.583
island-effects-coordinate_structure_constraint,0.258
local_attractor-in_question_with_aux,0.814
npi_licensing-matrix_question,0.745
npi_licensing-only_npi_licensor,0.9955
quantifiers-existential_there,0.7195
quantifiers-superlative,0.099
