,best
agreement_determiner_noun-across_1_adjective,0.4985
agreement_determiner_noun-between_neighbors,0.507
agreement_subject_verb-across_prepositional_phrase,0.49
agreement_subject_verb-across_relative_clause,0.484
agreement_subject_verb-in_question_with_aux,0.5005
agreement_subject_verb-in_simple_question,0.5105
anaphor_agreement-pronoun_gender,0.5235
argument_structure-dropped_argument,0.805
argument_structure-swapped_arguments,0.9995
argument_structure-transitive,0.5115
binding-principle_a,0.3685
case-subjective_pronoun,1.0
ellipsis-n_bar,0.437
filler-gap-wh_question_object,0.386
filler-gap-wh_question_subject,1.0
irregular-verb,0.504
island-effects-adjunct_island,0.565
island-effects-coordinate_structure_constraint,0.1615
local_attractor-in_question_with_aux,0.817
npi_licensing-matrix_question,0.639
npi_licensing-only_npi_licensor,0.2005
quantifiers-existential_there,0.764
quantifiers-superlative,0.509
