,epoch_1
adjunct_island,0.46
anaphor_gender_agreement,0.662
anaphor_number_agreement,0.533
animate_subject_passive,0.513
animate_subject_trans,0.58
causative,0.452
complex_NP_island,0.334
coordinate_structure_constraint_complex_left_branch,0.674
coordinate_structure_constraint_object_extraction,0.464
determiner_noun_agreement_1,0.511
determiner_noun_agreement_2,0.503
determiner_noun_agreement_irregular_1,0.497
determiner_noun_agreement_irregular_2,0.49
determiner_noun_agreement_with_adj_2,0.5
determiner_noun_agreement_with_adj_irregular_1,0.476
determiner_noun_agreement_with_adj_irregular_2,0.493
determiner_noun_agreement_with_adjective_1,0.476
distractor_agreement_relational_noun,0.514
distractor_agreement_relative_clause,0.549
drop_argument,0.352
ellipsis_n_bar_1,0.551
ellipsis_n_bar_2,0.383
existential_there_object_raising,0.456
existential_there_quantifiers_1,0.684
existential_there_quantifiers_2,0.665
existential_there_subject_raising,0.6
expletive_it_object_raising,0.49
inchoative,0.425
intransitive,0.347
irregular_past_participle_adjectives,0.511
irregular_past_participle_verbs,0.497
irregular_plural_subject_verb_agreement_1,0.519
irregular_plural_subject_verb_agreement_2,0.498
left_branch_island_echo_question,0.57
left_branch_island_simple_question,0.637
matrix_question_npi_licensor_present,0.367
npi_present_1,0.519
npi_present_2,0.483
only_npi_licensor_present,0.985
only_npi_scope,0.713
passive_1,0.561
passive_2,0.553
principle_A_c_command,0.297
principle_A_case_1,0.589
principle_A_case_2,0.446
principle_A_domain_1,0.745
principle_A_domain_2,0.514
principle_A_domain_3,0.473
principle_A_reconstruction,0.644
regular_plural_subject_verb_agreement_1,0.432
regular_plural_subject_verb_agreement_2,0.467
sentential_negation_npi_licensor_present,0.938
sentential_negation_npi_scope,0.753
sentential_subject_island,0.468
superlative_quantifiers_1,0.0
superlative_quantifiers_2,0.347
tough_vs_raising_1,0.507
tough_vs_raising_2,0.48
transitive,0.6
wh_island,0.372
wh_questions_object_gap,0.695
wh_questions_subject_gap,0.776
wh_questions_subject_gap_long_distance,0.756
wh_vs_that_no_gap,0.701
wh_vs_that_no_gap_long_distance,0.589
wh_vs_that_with_gap,0.257
wh_vs_that_with_gap_long_distance,0.428
