,epoch_9
adjunct_island,0.784
adv_order,0.951
anaphor_gender_agreement,0.788
anaphor_number_agreement,0.842
center_embedding_double_1,0.35
center_embedding_double_2,0.934
center_embedding_single_1,0.404
center_embedding_single_2,0.957
complex_np_island,0.276
coordinate_structure_constrain_object_extraction,0.7
determiner_noun_agreement_1,0.971
determiner_noun_agreement_2,0.982
determiner_noun_agreement_adj_1,0.94
determiner_noun_agreement_adj_2,0.967
ellipsis,0.715
green_ideas,0.672
intransitive,0.691
left_branch_island_simple_question,0.696
matrix_question_npi_licensor_present,0.345
npi_present,0.569
only_npi_licensor_present,1.0
only_npi_scope,0.992
pp_order,0.904
principle_A_c_command,0.34
principle_A_domain_1,1.0
principle_A_domain_2,0.733
principle_A_domain_3,0.546
recursion_intensifier_adj_long,0.969
recursion_intensifier_adj_medium,0.998
recursion_intensifier_adj_short,0.999
recursion_intensifier_adv_long,0.107
recursion_intensifier_adv_medium,0.074
recursion_intensifier_adv_short,0.103
recursion_poss_ditransitive_long,0.2
recursion_poss_ditransitive_medium,0.371
recursion_poss_ditransitive_short,0.838
recursion_poss_transitive_long,1.0
recursion_poss_transitive_medium,1.0
recursion_poss_transitive_short,0.999
recursion_pp_is_long,0.509
recursion_pp_is_medium,0.618
recursion_pp_is_short,0.846
recursion_pp_verb_long,0.245
recursion_pp_verb_medium,0.526
recursion_pp_verb_short,0.872
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.513
subj_aux_agreement_question_vary_aux,0.722
subj_aux_agreement_question_vary_subj,0.591
subj_aux_vary_subj,0.915
subj_aux_vary_verb,0.925
subj_aux_vary_verb_pp,0.563
subj_aux_vary_verb_rc,0.528
subj_verb_vary_verb,0.668
svo_vos,0.774
swapped_ditransitive_1,0.958
swapped_ditransitive_2,0.863
transitive,0.967
wh_island,0.773
wh_questions_object_gap,0.6
wh_questions_object_gap_long_distance,0.593
wh_questions_subject_gap,0.867
wh_questions_subject_gap_long_distance,0.814
wh_vs_that_no_gap,0.999
wh_vs_that_no_gap_long_distance,0.987
wh_vs_that_with_gap,0.33
wh_vs_that_with_gap_long_distance,0.052
