,epoch_2
adjunct_island,0.435
adv_order,0.484
anaphor_gender_agreement,0.514
anaphor_number_agreement,0.48
center_embedding_double_1,0.346
center_embedding_double_2,0.857
center_embedding_single_1,0.18
center_embedding_single_2,0.952
complex_np_island,0.503
coordinate_structure_constrain_object_extraction,0.445
determiner_noun_agreement_1,0.522
determiner_noun_agreement_2,0.576
determiner_noun_agreement_adj_1,0.516
determiner_noun_agreement_adj_2,0.592
ellipsis,0.083
green_ideas,0.504
intransitive,0.437
left_branch_island_simple_question,0.369
matrix_question_npi_licensor_present,0.621
npi_present,0.241
only_npi_licensor_present,1.0
only_npi_scope,0.997
pp_order,0.554
principle_A_c_command,0.499
principle_A_domain_1,0.673
principle_A_domain_2,0.479
principle_A_domain_3,0.483
recursion_intensifier_adj_long,0.999
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.002
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.492
recursion_poss_ditransitive_medium,0.507
recursion_poss_ditransitive_short,0.57
recursion_poss_transitive_long,0.171
recursion_poss_transitive_medium,0.329
recursion_poss_transitive_short,0.794
recursion_pp_is_long,0.155
recursion_pp_is_medium,0.068
recursion_pp_is_short,0.292
recursion_pp_verb_long,0.0
recursion_pp_verb_medium,0.0
recursion_pp_verb_short,0.412
sentential_negation_npi_licensor_present,0.546
sentential_negation_npi_scope,0.493
subj_aux_agreement_question_vary_aux,0.445
subj_aux_agreement_question_vary_subj,0.478
subj_aux_vary_subj,0.494
subj_aux_vary_verb,0.472
subj_aux_vary_verb_pp,0.5
subj_aux_vary_verb_rc,0.488
subj_verb_vary_verb,0.409
svo_vos,0.248
swapped_ditransitive_1,0.735
swapped_ditransitive_2,0.573
transitive,0.725
wh_island,0.518
wh_questions_object_gap,0.311
wh_questions_object_gap_long_distance,0.315
wh_questions_subject_gap,0.597
wh_questions_subject_gap_long_distance,0.649
wh_vs_that_no_gap,0.99
wh_vs_that_no_gap_long_distance,0.942
wh_vs_that_with_gap,0.472
wh_vs_that_with_gap_long_distance,0.613
