,epoch_8
adjunct_island,0.785
adv_order,0.953
anaphor_gender_agreement,0.791
anaphor_number_agreement,0.803
center_embedding_double_1,0.378
center_embedding_double_2,0.931
center_embedding_single_1,0.425
center_embedding_single_2,0.944
complex_np_island,0.295
coordinate_structure_constrain_object_extraction,0.694
determiner_noun_agreement_1,0.963
determiner_noun_agreement_2,0.983
determiner_noun_agreement_adj_1,0.93
determiner_noun_agreement_adj_2,0.964
ellipsis,0.717
green_ideas,0.675
intransitive,0.713
left_branch_island_simple_question,0.733
matrix_question_npi_licensor_present,0.308
npi_present,0.534
only_npi_licensor_present,1.0
only_npi_scope,0.994
pp_order,0.873
principle_A_c_command,0.374
principle_A_domain_1,1.0
principle_A_domain_2,0.694
principle_A_domain_3,0.546
recursion_intensifier_adj_long,0.978
recursion_intensifier_adj_medium,0.996
recursion_intensifier_adj_short,0.998
recursion_intensifier_adv_long,0.096
recursion_intensifier_adv_medium,0.07
recursion_intensifier_adv_short,0.099
recursion_poss_ditransitive_long,0.222
recursion_poss_ditransitive_medium,0.427
recursion_poss_ditransitive_short,0.862
recursion_poss_transitive_long,1.0
recursion_poss_transitive_medium,1.0
recursion_poss_transitive_short,0.999
recursion_pp_is_long,0.499
recursion_pp_is_medium,0.616
recursion_pp_is_short,0.815
recursion_pp_verb_long,0.413
recursion_pp_verb_medium,0.672
recursion_pp_verb_short,0.923
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.508
subj_aux_agreement_question_vary_aux,0.753
subj_aux_agreement_question_vary_subj,0.58
subj_aux_vary_subj,0.966
subj_aux_vary_verb,0.935
subj_aux_vary_verb_pp,0.582
subj_aux_vary_verb_rc,0.538
subj_verb_vary_verb,0.691
svo_vos,0.699
swapped_ditransitive_1,0.92
swapped_ditransitive_2,0.812
transitive,0.962
wh_island,0.785
wh_questions_object_gap,0.536
wh_questions_object_gap_long_distance,0.504
wh_questions_subject_gap,0.801
wh_questions_subject_gap_long_distance,0.766
wh_vs_that_no_gap,0.994
wh_vs_that_no_gap_long_distance,0.978
wh_vs_that_with_gap,0.364
wh_vs_that_with_gap_long_distance,0.069
