,epoch_7
adjunct_island_implausible,0.627
adv_order_implausible,0.505
anaphor_gender_agreement_implausible,0.522
anaphor_number_agreement_implausible,0.482
center_embedding_double_1_implausible,0.393
center_embedding_double_2_implausible,0.845
center_embedding_single_1_implausible,0.305
center_embedding_single_2_implausible,0.916
complex_np_island_implausible,0.594
coordinate_structure_constrain_object_extraction_implausible,0.065
determiner_noun_agreement_1_implausible,0.533
determiner_noun_agreement_2_implausible,0.58
determiner_noun_agreement_adj_1_implausible,0.482
determiner_noun_agreement_adj_2_implausible,0.608
ellipsis_implausible,0.266
green_ideas_implausible,0.342
intransitive_implausible,0.478
left_branch_island_simple_question_implausible,0.432
matrix_question_npi_licensor_present_implausible,0.821
npi_present_implausible,0.371
only_npi_licensor_present_implausible,1.0
only_npi_scope_implausible,0.984
pp_order_implausible,0.37
principle_A_c_command_implausible,0.469
principle_A_domain_1_implausible,1.0
principle_A_domain_2_implausible,0.508
principle_A_domain_3_implausible,0.499
recursion_intensifier_adj_long_implausible,1.0
recursion_intensifier_adj_medium_implausible,1.0
recursion_intensifier_adj_short_implausible,1.0
recursion_intensifier_adv_long_implausible,0.0
recursion_intensifier_adv_medium_implausible,0.0
recursion_intensifier_adv_short_implausible,0.0
recursion_poss_ditransitive_long_implausible,0.626
recursion_poss_ditransitive_medium_implausible,0.676
recursion_poss_ditransitive_short_implausible,0.632
recursion_poss_transitive_long_implausible,0.883
recursion_poss_transitive_medium_implausible,0.905
recursion_poss_transitive_short_implausible,0.968
recursion_pp_is_long_implausible,0.387
recursion_pp_is_medium_implausible,0.199
recursion_pp_is_short_implausible,0.1
recursion_pp_verb_long_implausible,1.0
recursion_pp_verb_medium_implausible,1.0
recursion_pp_verb_short_implausible,1.0
sentential_negation_npi_licensor_present_implausible,0.565
sentential_negation_npi_scope_implausible,0.316
subj_aux_agreement_question_vary_aux_implausible,0.547
subj_aux_agreement_question_vary_subj_implausible,0.489
subj_aux_vary_subj_implausible,0.514
subj_aux_vary_verb_implausible,0.47
subj_aux_vary_verb_pp_implausible,0.541
subj_aux_vary_verb_rc_implausible,0.503
subj_verb_vary_verb_implausible,0.415
svo_vos_implausible,0.26
swapped_ditransitive_1_implausible,0.961
swapped_ditransitive_2_implausible,0.881
transitive_implausible,0.737
wh_island_implausible,1.0
wh_questions_object_gap_implausible,0.546
wh_questions_object_gap_long_distance_implausible,0.553
wh_questions_subject_gap_implausible,0.908
wh_questions_subject_gap_long_distance_implausible,0.879
wh_vs_that_no_gap_implausible,1.0
wh_vs_that_no_gap_long_distance_implausible,1.0
wh_vs_that_with_gap_implausible,0.048
wh_vs_that_with_gap_long_distance_implausible,0.085
