,epoch_3
adjunct_island_implausible,0.502
adv_order_implausible,0.445
anaphor_gender_agreement_implausible,0.522
anaphor_number_agreement_implausible,0.43
center_embedding_double_1_implausible,0.251
center_embedding_double_2_implausible,0.78
center_embedding_single_1_implausible,0.129
center_embedding_single_2_implausible,0.77
complex_np_island_implausible,0.424
coordinate_structure_constrain_object_extraction_implausible,0.356
determiner_noun_agreement_1_implausible,0.506
determiner_noun_agreement_2_implausible,0.512
determiner_noun_agreement_adj_1_implausible,0.518
determiner_noun_agreement_adj_2_implausible,0.521
ellipsis_implausible,0.607
green_ideas_implausible,0.356
intransitive_implausible,0.567
left_branch_island_simple_question_implausible,0.621
matrix_question_npi_licensor_present_implausible,0.707
npi_present_implausible,0.326
only_npi_licensor_present_implausible,0.981
only_npi_scope_implausible,0.683
pp_order_implausible,0.466
principle_A_c_command_implausible,0.483
principle_A_domain_1_implausible,0.787
principle_A_domain_2_implausible,0.527
principle_A_domain_3_implausible,0.506
recursion_intensifier_adj_long_implausible,0.923
recursion_intensifier_adj_medium_implausible,0.984
recursion_intensifier_adj_short_implausible,1.0
recursion_intensifier_adv_long_implausible,0.088
recursion_intensifier_adv_medium_implausible,0.02
recursion_intensifier_adv_short_implausible,0.0
recursion_poss_ditransitive_long_implausible,0.606
recursion_poss_ditransitive_medium_implausible,0.564
recursion_poss_ditransitive_short_implausible,0.533
recursion_poss_transitive_long_implausible,0.656
recursion_poss_transitive_medium_implausible,0.71
recursion_poss_transitive_short_implausible,0.78
recursion_pp_is_long_implausible,0.628
recursion_pp_is_medium_implausible,0.499
recursion_pp_is_short_implausible,0.213
recursion_pp_verb_long_implausible,0.002
recursion_pp_verb_medium_implausible,0.008
recursion_pp_verb_short_implausible,0.109
sentential_negation_npi_licensor_present_implausible,0.015
sentential_negation_npi_scope_implausible,0.756
subj_aux_agreement_question_vary_aux_implausible,0.529
subj_aux_agreement_question_vary_subj_implausible,0.505
subj_aux_vary_subj_implausible,0.526
subj_aux_vary_verb_implausible,0.455
subj_aux_vary_verb_pp_implausible,0.539
subj_aux_vary_verb_rc_implausible,0.514
subj_verb_vary_verb_implausible,0.504
svo_vos_implausible,0.312
swapped_ditransitive_1_implausible,0.647
swapped_ditransitive_2_implausible,0.614
transitive_implausible,0.536
wh_island_implausible,0.462
wh_questions_object_gap_implausible,0.497
wh_questions_object_gap_long_distance_implausible,0.46
wh_questions_subject_gap_implausible,0.463
wh_questions_subject_gap_long_distance_implausible,0.458
wh_vs_that_no_gap_implausible,0.889
wh_vs_that_no_gap_long_distance_implausible,0.696
wh_vs_that_with_gap_implausible,0.239
wh_vs_that_with_gap_long_distance_implausible,0.448
