,epoch_9
adjunct_island_implausible,0.632
adv_order_implausible,0.502
anaphor_gender_agreement_implausible,0.522
anaphor_number_agreement_implausible,0.478
center_embedding_double_1_implausible,0.393
center_embedding_double_2_implausible,0.843
center_embedding_single_1_implausible,0.304
center_embedding_single_2_implausible,0.918
complex_np_island_implausible,0.596
coordinate_structure_constrain_object_extraction_implausible,0.067
determiner_noun_agreement_1_implausible,0.534
determiner_noun_agreement_2_implausible,0.58
determiner_noun_agreement_adj_1_implausible,0.484
determiner_noun_agreement_adj_2_implausible,0.608
ellipsis_implausible,0.264
green_ideas_implausible,0.342
intransitive_implausible,0.479
left_branch_island_simple_question_implausible,0.417
matrix_question_npi_licensor_present_implausible,0.819
npi_present_implausible,0.379
only_npi_licensor_present_implausible,1.0
only_npi_scope_implausible,0.983
pp_order_implausible,0.38
principle_A_c_command_implausible,0.469
principle_A_domain_1_implausible,1.0
principle_A_domain_2_implausible,0.507
principle_A_domain_3_implausible,0.493
recursion_intensifier_adj_long_implausible,1.0
recursion_intensifier_adj_medium_implausible,1.0
recursion_intensifier_adj_short_implausible,1.0
recursion_intensifier_adv_long_implausible,0.0
recursion_intensifier_adv_medium_implausible,0.0
recursion_intensifier_adv_short_implausible,0.0
recursion_poss_ditransitive_long_implausible,0.627
recursion_poss_ditransitive_medium_implausible,0.671
recursion_poss_ditransitive_short_implausible,0.63
recursion_poss_transitive_long_implausible,0.888
recursion_poss_transitive_medium_implausible,0.91
recursion_poss_transitive_short_implausible,0.972
recursion_pp_is_long_implausible,0.453
recursion_pp_is_medium_implausible,0.236
recursion_pp_is_short_implausible,0.109
recursion_pp_verb_long_implausible,1.0
recursion_pp_verb_medium_implausible,1.0
recursion_pp_verb_short_implausible,1.0
sentential_negation_npi_licensor_present_implausible,0.561
sentential_negation_npi_scope_implausible,0.312
subj_aux_agreement_question_vary_aux_implausible,0.543
subj_aux_agreement_question_vary_subj_implausible,0.49
subj_aux_vary_subj_implausible,0.515
subj_aux_vary_verb_implausible,0.474
subj_aux_vary_verb_pp_implausible,0.538
subj_aux_vary_verb_rc_implausible,0.504
subj_verb_vary_verb_implausible,0.413
svo_vos_implausible,0.261
swapped_ditransitive_1_implausible,0.964
swapped_ditransitive_2_implausible,0.887
transitive_implausible,0.739
wh_island_implausible,1.0
wh_questions_object_gap_implausible,0.543
wh_questions_object_gap_long_distance_implausible,0.55
wh_questions_subject_gap_implausible,0.91
wh_questions_subject_gap_long_distance_implausible,0.881
wh_vs_that_no_gap_implausible,1.0
wh_vs_that_no_gap_long_distance_implausible,1.0
wh_vs_that_with_gap_implausible,0.044
wh_vs_that_with_gap_long_distance_implausible,0.077
