,epoch_5
adjunct_island_implausible,0.593
adv_order_implausible,0.453
anaphor_gender_agreement_implausible,0.524
anaphor_number_agreement_implausible,0.549
center_embedding_double_1_implausible,0.359
center_embedding_double_2_implausible,0.917
center_embedding_single_1_implausible,0.267
center_embedding_single_2_implausible,0.929
complex_np_island_implausible,0.452
coordinate_structure_constrain_object_extraction_implausible,0.213
determiner_noun_agreement_1_implausible,0.54
determiner_noun_agreement_2_implausible,0.563
determiner_noun_agreement_adj_1_implausible,0.498
determiner_noun_agreement_adj_2_implausible,0.592
ellipsis_implausible,0.334
green_ideas_implausible,0.332
intransitive_implausible,0.591
left_branch_island_simple_question_implausible,0.477
matrix_question_npi_licensor_present_implausible,0.535
npi_present_implausible,0.512
only_npi_licensor_present_implausible,0.401
only_npi_scope_implausible,0.864
pp_order_implausible,0.67
principle_A_c_command_implausible,0.558
principle_A_domain_1_implausible,0.991
principle_A_domain_2_implausible,0.498
principle_A_domain_3_implausible,0.505
recursion_intensifier_adj_long_implausible,1.0
recursion_intensifier_adj_medium_implausible,1.0
recursion_intensifier_adj_short_implausible,1.0
recursion_intensifier_adv_long_implausible,0.0
recursion_intensifier_adv_medium_implausible,0.0
recursion_intensifier_adv_short_implausible,0.0
recursion_poss_ditransitive_long_implausible,0.518
recursion_poss_ditransitive_medium_implausible,0.581
recursion_poss_ditransitive_short_implausible,0.599
recursion_poss_transitive_long_implausible,0.877
recursion_poss_transitive_medium_implausible,0.887
recursion_poss_transitive_short_implausible,0.862
recursion_pp_is_long_implausible,0.074
recursion_pp_is_medium_implausible,0.143
recursion_pp_is_short_implausible,0.065
recursion_pp_verb_long_implausible,0.0
recursion_pp_verb_medium_implausible,0.011
recursion_pp_verb_short_implausible,0.564
sentential_negation_npi_licensor_present_implausible,0.472
sentential_negation_npi_scope_implausible,0.659
subj_aux_agreement_question_vary_aux_implausible,0.509
subj_aux_agreement_question_vary_subj_implausible,0.495
subj_aux_vary_subj_implausible,0.545
subj_aux_vary_verb_implausible,0.466
subj_aux_vary_verb_pp_implausible,0.53
subj_aux_vary_verb_rc_implausible,0.505
subj_verb_vary_verb_implausible,0.418
svo_vos_implausible,0.297
swapped_ditransitive_1_implausible,0.938
swapped_ditransitive_2_implausible,0.905
transitive_implausible,0.655
wh_island_implausible,0.997
wh_questions_object_gap_implausible,0.476
wh_questions_object_gap_long_distance_implausible,0.491
wh_questions_subject_gap_implausible,0.794
wh_questions_subject_gap_long_distance_implausible,0.869
wh_vs_that_no_gap_implausible,0.998
wh_vs_that_no_gap_long_distance_implausible,0.998
wh_vs_that_with_gap_implausible,0.209
wh_vs_that_with_gap_long_distance_implausible,0.298
